Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$27.73,1.7405,6.697%,45760379.00,United States,,16795,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.915,-0.0598,-6.135%,110301979.00,Canada,2015,11252307,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$33.22,-0.1701,-0.509%,110918690.00,United States,1988,21791,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp. Common Stock,$10.50,0.23,2.24%,16231782.00,United States,,292458,Technology,Diversified Commercial Services
AE,Adams Resources & Energy Inc. Common Stock,$27.78,0.67,2.471%,117850650.00,United States,,19667,Energy,Oil Refining/Marketing
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.98,0.03,0.335%,455750966.00,United States,,30023,,
AGE,AgeX Therapeutics Inc. Common Stock,$2.54,-0.16,-5.926%,95735259.00,,2018,385742,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.70,-0.12,-4.255%,107163032.00,United States,,3805102,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$8.20,-0.49,-5.639%,20942160.00,United States,2014,18652,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.88,-0.07,-3.59%,59651939.00,United States,,1352657,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$3.02,-0.03,-0.984%,70110315.00,China,,549795,Consumer Services,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$2.16,-0.11,-4.846%,399718800.00,United States,,3859277,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.76,-0.1406,-4.847%,15900360.00,United States,,509103,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$20.98,-0.01,-0.048%,144890754.00,United States,2020,197782,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$19.32,0.36,1.899%,262323965.00,Canada,,861065,Health Care,Industrial Specialties
ARMP,Armata Pharmaceuticals Inc. Common Stock,$6.23,-0.10,-1.58%,128066204.00,United States,,36039,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.38,-0.05,-3.497%,123604781.00,Canada,,3959620,Basic Industries,Precious Metals
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$9.23,-0.24,-2.534%,125403626.00,United States,,194362,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.9588,-0.0142,-1.459%,145270331.00,United States,,7435215,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$3.75,-0.16,-4.092%,14532866.00,United States,,62981,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.85,0.00,0.00%,398327235.00,Canada,,763490,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$8.90,0.00,0.00%,144215306.00,,,10780,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$35.04,-0.08,-0.228%,186587685.00,United States,,15231,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.79,-0.0253,-0.098%,,United States,,1425,,
